"","Scientific_Name","Also_known_as","Genus","Family","Life_cycle","Origin","Habitat","Bloom_season","Plant_height","Wetland_Indicator_Status","Flower_shape_1","Leaf_attachment_1","Leaf_type_1","Fruit_type_1","Status","Cluster_type_1","Flower_shape_2","Cluster_type_2","Leaf_type_2","Fruiting_season","Leaf_attachment_2","Flower_shape_3","Fruit_type_2","Leaf_type_3","Leaf_type_4","Cluster_type_3","Flower_shape_4","Leaf_attachment_3"
"28","Agalinis gattingeri","Gattinger's Agalinis","Agalinis","Orobanchaceae (Broomrape)","annual","native","part shade, sun; dry,  sandy soil; prairies,  open woods,  glades,  bluffs,  barrens","August - October","8 to 24 inches","none","5-petals","alternate","simple","capsule/pod","State Endangered",NA,"tubular",NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"29","Agalinis purpurea","Purple Gerardia, Purple Agalinis","Agalinis","Orobanchaceae (Broomrape)","annual","native","sun; along shores,  wet meadows,  fens","July - September","1 to 2 feet","GP: FACW
MW: FACW
NCNE: FACW","5-petals","opposite","simple","capsule/pod",NA,NA,"irregular",NA,NA,NA,NA,"tubular",NA,NA,NA,NA,NA,NA
"30","Agalinis tenuifolia","Slender Gerardia, Slender Agalinis, Common False Foxglove","Agalinis","Orobanchaceae (Broomrape)","annual","native","sun; along shores,  wet meadows,  wet thickets","August - October","1 to 2 feet","GP: FAC
MW: FACW
NCNE: FACW","irregular","opposite","simple","capsule/pod",NA,NA,"tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Agastache foeniculum","Lavender Hyssop, Anise Hyssop","Agastache","Lamiaceae (Mint)","perennial","native","part shade, shade, sun; dry fields,  deciduous woods","June - October","2 to 4 feet","none","irregular","opposite","simple",NA,NA,"spike","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Agastache nepetoides","Catnip Giant Hyssop","Agastache","Lamiaceae (Mint)","perennial","native","part shade, sun; moist open woods,  thickets,  woodland edges","July - October","3 to 5 feet","GP: FACU
MW: FACU
NCNE: FACU","irregular","alternate","simple",NA,NA,"spike","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Agastache scrophulariifolia","","Agastache","Lamiaceae (Mint)","perennial","native","part shade, sun; woods","July - August","3 to 6 feet","none","irregular","opposite","simple",NA,NA,"spike","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Ageratina altissima","","Ageratina","Asteraceae (Aster)","perennial","native","part shade, shade; thickets,  deciduous woods","July - October","1 to 4 feet","GP: UPL
MW: FACU
NCNE: FACU","5-petals","opposite","simple","seed with plume",NA,"flat","indistinct","panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Agoseris glauca","Pale Agoseris, Pale Goat Chicory, Prairie Dandelion","Agoseris","Asteraceae (Aster)","perennial","native","sun; open prairie","June - July","8 to 15 inches","GP: FACU
MW: FACU
NCNE: FACU","7+petals","basal","simple","seed with plume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Agrimonia gryposepala","Tall Agrimony, Common Agrimony, Tall Hairy Groovebur","Agrimonia","Rosaceae (Rose)","perennial","native","part shade; moist to dry soil; open woods,  woodland edges,  thickets,  fields,  banks,  swamps","June - September","1 to 5 feet","GP: FAC
MW: FACU
NCNE: FACU","5-petals","alternate","compound","barbed",NA,"raceme",NA,"spike",NA,NA,NA,NA,"capsule/pod",NA,NA,NA,NA,NA
"37","Agrimonia pubescens","Soft Agrimony, Soft Groovebur","Agrimonia","Rosaceae (Rose)","perennial","native","part shade, sun; average moisture; open woods,  thickets,  woodland edges,  banks,  swamps","June - September","2 to 5 feet","none","5-petals","alternate","compound","barbed",NA,"raceme",NA,"spike",NA,NA,NA,NA,"capsule/pod",NA,NA,NA,NA,NA
"38","Agrimonia striata","Woodland Agrimony, Woodland Grooveburr","Agrimonia","Rosaceae (Rose)","perennial","native","part shade, sun; average moisture; open woods,  thickets,  woodland edges,  shores,  banks,  swamps","June - September","2 to 6 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","compound","barbed",NA,"raceme",NA,"spike",NA,NA,NA,NA,"capsule/pod",NA,NA,NA,NA,NA
"39","Agropyron cristatum","","Agropyron","Poaceae (Grass)","perennial","Europe, Asia","sun; moist to dry disturbed soil; roadsides,  fields,  prairies,  gravel pits,  waste places",NA,"8 to 40 inches","none","indistinct","alternate","simple","seed without plume","Weedy","panicle",NA,"spike",NA,"July - August",NA,NA,NA,NA,NA,NA,NA,NA
"40","Agrostis gigantea","Black Bent Grass","Agrostis","Poaceae (Grass)","perennial","Eurasia","part shade, sun; average to moist disturbed soils; waste areas,  roadsides,  fields,  railroads,  along shores",NA,"1 to 4 feet","GP: FACW
MW: FACW
NCNE: FACW",NA,"alternate","simple","seed without plume","Weedy","panicle",NA,NA,NA,"July - September",NA,NA,NA,NA,NA,NA,NA,NA
"41","Agrostis perennans","Upland Bentgrass","Agrostis","Poaceae (Grass)","perennial","native","part shade, sun; moist to dry soil; floodplain forest,  creek banks,  wooded slopes,  thickets,  seeps,  rock outcrops,  cliffs",NA,"8 to 30 inches","GP: FAC
MW: FAC
NCNE: FACU","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,NA,NA,"August - September",NA,NA,NA,NA,NA,NA,NA,NA
"42","Agrostis scabra","Ticklegrass","Agrostis","Poaceae (Grass)","perennial","native","part shade, sun; wet to dry; prairies,  wet meadows,  swamps,  bogs,  swales,  shores,  forest openings,  dunes,  cliffs,  rock outcrops",NA,"8 to 36 inches","GP: FAC
MW: FAC
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,NA,NA,"July - September","basal",NA,NA,NA,NA,NA,NA,NA
"43","Agrostis stolonifera","Spreading Bentgrass, Redtop","Agrostis","Poaceae (Grass)","perennial","Eurasia, North Africa","part shade, sun; average to moist disturbed soil; meadows,  prairies,  fens,  shores,  river banks,  open woods,  floodplains,  golf courses",NA,"6 to 24 inches","GP: FACW
MW: FACW
NCNE: FACW","irregular","alternate","simple","seed without plume","Weedy","panicle",NA,NA,NA,"July - September",NA,NA,NA,NA,NA,NA,NA,NA
"44","Alisma gramineum","","Alisma","Alismataceae (Water Plantain)","short-lived perennial","native","sun; wet,  sandy soil; shallow water,  shores","June - August","1 to 20 inches","GP: OBL
MW: OBL
NCNE: OBL","3-petals","basal","simple","seed_without_plume","State Special Concern","panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Alisma triviale","Large-flowered Water Plantain","Alisma","Alismataceae (Water Plantain)","perennial","native","sun; bogs,  swamps,  shallow mucky water,  along shores","June - September","6 to 40 inches","GP: OBL
MW: OBL
NCNE: OBL","3-petals","basal","simple","seed without plume",NA,"panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Alliaria petiolata","","Alliaria","Brassicaceae (Mustard)","biennial","Europe","part shade, shade; woods,  edges of woods,  along roads","May - June","1 to 4 feet","GP: FACU
MW: FAC
NCNE: FACU","4-petals","alternate","simple","capsule/pod","Invasive - ERADICATE!
Noxious Weed
Prohibited or Restricted species","round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Allium canadense","Meadow Garlic","Allium","Alliaceae (Onion)","perennial","native","sun; open prairie,  open woods,  riparian meadows,  rocky outcrops","June - July","1 to 2 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","simple","capsule/pod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Allium cernuum","","Allium","Alliaceae (Onion)","perennial","native","part shade, sun; open wetlands,  swales,  lakeshores,  wet ditches","July - August","1 to 2 feet","GP: UPL
MW: FACU
NCNE: FACU","6-petals","basal","simple","capsule/pod","State Special Concern","round","bell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Allium schoenoprasum","","Allium","Alliaceae (Onion)","perennial","native","part shade, sun; shallow bedrock soils and crevices along riverbanks and lake shores","June - August","10 to 20 inches","GP: FACU
MW: FAC
NCNE: FACU","6-petals","alternate","simple","capsule/pod","State Endangered","round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Allium stellatum","Autumn Onion, Pink Wild Onion, Prairie Wild Onion","Allium","Alliaceae (Onion)","perennial","native","sun; dry fields,  prairies,  rocky areas","July - August","8 to 18 inches","none","6-petals","basal","simple","capsule/pod",NA,"round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Allium textile","Textile Onion","Allium","Alliaceae (Onion)","perennial","native","sun; dry sandy or rocky soil; prairies,  roadsides","May - June","4 to 10 inches","none","6-petals","alternate","simple",NA,NA,"round","bell",NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"52","Allium tricoccum","Ramps, Three-seeded Leek","Allium","Alliaceae (Onion)","perennial","native","part shade, shade; moist rich woods","June - July","6 to 9 inches","GP: FACU
MW: FACU
NCNE: FACU","6-petals","basal","simple","capsule/pod",NA,"round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Allium tuberosum","Garlic Chives","Allium","Alliaceae (Onion)","perennial","Southeast Asia","sun; gardens,  roadsides,  fields","August - October","12 to 20 inches","none","6-petals","basal","simple","capsule/pod",NA,"round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Alnus incana","Grey Alder","Alnus","Betulaceae (Birch)","perennial woody","native","sun; wet; bogs,  swamps,  shores,  stream banks,  swales,  borders of wet meadows","March - May","10 to 25 feet","GP: FACW
MW: FACW
NCNE: FACW","indistinct","alternate","simple","seed without plume",NA,"raceme",NA,"spike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Alnus viridis","Mountain Alder","Alnus","Betulaceae (Birch)","perennial woody","native","part shade, sun; average moisture; mixed forest,  clearings,  river banks,  shores,  rock outcrops,  bluffs,  cliffs","May - June","6 to 14 feet","GP: FAC
MW: FAC
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,"raceme",NA,"spike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Alopecurus aequalis","Orange Foxtail, Short-awn Meadow-Foxtail","Alopecurus","Poaceae (Grass)","perennial","native","part shade, sun; wet; pond shores,  wet meadows,  ditches,  marshes,  swamps,  wet depressions,  shallow water",NA,"8 to 28 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,"spike",NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"57","Alopecurus arundinaceus","Creeping Meadow-Foxtail","Alopecurus","Poaceae (Grass)","perennial","Eurasia","sun; average to moist soil; ditches,  meadows,  roadsides,  floodplains,  stream banks",NA,"12 to 42 inches","none","indistinct","alternate","simple","seed without plume","Weedy","panicle",NA,"spike",NA,"June - July",NA,NA,NA,NA,NA,NA,NA,NA
"58","Alopecurus carolinianus","Tufted Meadow-Foxtail","Alopecurus","Poaceae (Grass)","annual","native","sun; moist to wet; vernal pools,  wet meadows,  mud flats,  disturbed ground",NA,"8 to 16 inches","GP: FACW
MW: FACW
NCNE: FACW","irregular","alternate","simple","seed without plume",NA,"panicle",NA,"spike",NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"59","Alopecurus pratensis","Field Meadow-Foxtail","Alopecurus","Poaceae (Grass)","perennial","Eurasia","part shade, sun; moist,  disturbed soil; roadsides,  ditches,  fields,  shores,  stream banks,  wetlands",NA,"1 to 4 feet","GP: FACW
MW: FACW
NCNE: FAC","indistinct","alternate","simple","seed without plume","Weedy","panicle",NA,"spike",NA,"June - July","basal",NA,NA,NA,NA,NA,NA,NA
"60","Amaranthus albus","Tumble Pigweed, White Amaranth","Amaranthus","Amaranthaceae (Amaranth)","annual","native","part shade, sun; dry disturbed sandy or gravelly soil; roadsides,  railroads,  gravel pits,  waste places,  farm fields,  gardens","June - October","4 to 40 inches","GP: FACU
MW: FACU
NCNE: FACU","indistinct","alternate","simple","capsule/pod","Weedy","spike",NA,NA,NA,NA,NA,NA,"seed_without_plume",NA,NA,NA,NA,NA
"61","Amaranthus blitoides","Mat Amaranth, Spreading Amaranth","Amaranthus","Amaranthaceae (Amaranth)","annual","native","part shade, sun; dry disturbed sandy or gravelly soil; roadsides,  railroads,  gravel pits,  waste places,  farm fields,  gardens","June - September","2 to 16 inches","GP: FAC
MW: FACU
NCNE: FACU","indistinct","alternate","simple","capsule/pod","Weedy","spike",NA,NA,NA,NA,NA,NA,"seed_without_plume",NA,NA,NA,NA,NA
"62","Amaranthus retroflexus","Redroot Amaranth, Rough Pigweed, Green Pigweed","Amaranthus","Amaranthaceae (Amaranth)","annual","Eastern North America","part shade, sun; moist to dry disturbed soil; roadsides,  railroads,  waste places,  fields,  gardens,  shores,  woodland edges","July - September","1 to 5 feet","GP: FACU
MW: FACU
NCNE: FACU","indistinct","alternate","simple","capsule/pod","Weedy","panicle",NA,"spike",NA,NA,NA,NA,"seed without plume",NA,NA,NA,NA,NA
"63","Amaranthus tuberculatus","Rough-fruited Amaranth, Tall Water-hemp, Common Waterhemp, Tubercled Amaranth","Amaranthus","Amaranthaceae (Amaranth)","annual","native","sun; dry to wet; shores,  river banks,  floodplain forest,  farm fields,  ditches,  waste places,  sedge meadows,  swales","July - October","20 inches to 6+ feet","GP: FAC
MW: OBL
NCNE: OBL","indistinct","alternate","simple","capsule/pod","Weedy","spike",NA,NA,NA,NA,NA,NA,"seed without plume",NA,NA,NA,NA,NA
"64","Ambrosia artemisiifolia","Annual Ragweed","Ambrosia","Asteraceae (Aster)","annual","native","part shade, sun; disturbed soil,  fields,  along roads,  waste areas,  open woods","July - September","1 to 3 feet","GP: FACU
MW: FACU
NCNE: FACU","indistinct","alternate","lobed",NA,"Weedy","raceme",NA,"spike","simple",NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"65","Ambrosia psilostachya","Cuman Ragweed","Ambrosia","Asteraceae (Aster)","perennial","native","sun; disturbed soil,  waste areas,  dry prairie","July - October","1 to 3 feet","GP: FACU
MW: FACU
NCNE: FAC","indistinct","alternate","lobed",NA,NA,"raceme",NA,"spike","simple",NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"66","Ambrosia trifida","Great Ragweed, Horseweed","Ambrosia","Asteraceae (Aster)","annual","native","part shade, sun; disturbed soil; fields,  along roads,  edges of woods","July - September","3 to 12 feet","GP: FAC
MW: FAC
NCNE: FAC","indistinct","opposite","lobed",NA,"Weedy","raceme",NA,"spike","simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Amelanchier arborea","Downy Shadbush, Common Serviceberry","Amelanchier","Rosaceae (Rose)","perennial woody","native","part shade, sun; average to dry soil; forest understory,  woodland edges,  shrubby fields and meadows,  windbreaks,  roadsides","April - May","15 to 25 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","simple","berry/drupe",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Amelanchier bartramiana","Mountain Juneberry, Bartram's Shadbush, Oblongfruit Serviceberry, Northern Juneberry","Amelanchier","Rosaceae (Rose)","perennial woody","native","part shade; moist rocky or sandy soil; forest edges,  conifer swamps,  bogs,  thickets,  cliffs,  rock outcrops,  rocky shores","May - June","5 to 6 feet","GP: none
MW: none
NCNE: FAC","5-petals","alternate","simple","berry/drupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Amelanchier interior","Inland Shadbush, Inland Juneberry, Pacific Serviceberry","Amelanchier","Rosaceae (Rose)","perennial woody","native","part shade, sun; average to dry soil; forest understory,  woodland edges,  shrubby fields and meadows,  windbreaks,  roadsides","April - June","20 to 30 feet","none","5-petals","alternate","simple","berry/drupe",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Amelanchier laevis","Smooth Shadbush, Allegheny Serviceberry, Smooth Juneberry","Amelanchier","Rosaceae (Rose)","perennial woody","native","part shade, sun; average to dry soil; forest understory,  woodland edges,  shrubby fields and meadows,  windbreaks,  roadsides","April - May","6 to 45 feet","none","5-petals","alternate","simple","capsule/pod",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Amerorchis rotundifolia","Round-leaved Orchis","Amerorchis","Orchidaceae (Orchid)","perennial","native","part shade, shade; coniferous swamps,  peat bogs,  fens","June - July","8 to 14 inches","none","irregular","basal","simple","capsule/pod",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Ammannia coccinea","Scarlet Toothcup, Purple Ammania","Ammannia","Lythraceae (Loosestrife)","annual","native","sun; river banks,  mudflats","July - September","8 to 24 inches","GP: OBL
MW: OBL
NCNE: OBL","4-petals","opposite","simple","capsule/pod",NA,"whorled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Ammophila breviligulata","","Ammophila","Poaceae (Grass)","perennial","native","sun; dry sandy soil; dunes,  shores",NA,"20 to 40 inches","GP: none
MW: UPL
NCNE: UPL","indistinct","alternate","simple","seed without plume","State Threatened","panicle",NA,"spike",NA,"August - September","basal",NA,NA,NA,NA,NA,NA,NA
"74","Amorpha canescens","Shoestrings","Amorpha","Fabaceae (Pea)","perennial woody","native","sun; dry prairies,  sandy open woods","June - August","1 to 3 feet","none","irregular","alternate","compound","seed without plume",NA,"spike","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Amorpha fruticosa","Desert False Indigo, Bastard Indigo","Amorpha","Fabaceae (Pea)","perennial woody","native","part shade, sun; moist; along shores,  edges of woods","June - July","3 to 12 feet","GP: FACW
MW: FACW
NCNE: FACW","indistinct","alternate","compound",NA,NA,"spike","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Amorpha nana","Dwarf False Indogo, Dwarf Lead Plant, Smooth Lead Plant, Fragrant Indigo-bush","Amorpha","Fabaceae (Pea)","perennial woody","native","sun; dry prairie","June - July","1 to 2 feet","GP: UPL
MW: FACU
NCNE: FACU","indistinct","alternate","compound","capsule/pod",NA,"spike","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
